プログラムNo.2,,,,,,,,,,,,,,,
,層番号,材料番号,物質名,ML数,層厚[nm],比誘電率,有効質量,障壁の高さ,谷,分割数,NX,EF,仕事関数,電荷量,
167,5.18E+00,0.00E+00,,,,,,,,,,,,,
168,5.21E+00,0.00E+00,,,,,,,,,,,,,
168,5.21E+00,0.00E+00,,,,,,,,,,,,,
169,5.24E+00,0.00E+00,,,,,,,,,,,,,
169,5.24E+00,0.00E+00,,,,,,,,,,,,,
170,5.27E+00,0.00E+00,,,,,,,,,,,,,
170,5.27E+00,0.00E+00,,,,,,,,,,,,,
171,5.30E+00,0.00E+00,,,,,,,,,,,,,
171,5.30E+00,0.00E+00,,,,,,,,,,,,,
172,5.33E+00,0.00E+00,,,,,,,,,,,,,
172,5.33E+00,0.00E+00,,,,,,,,,,,,,
173,5.36E+00,0.00E+00,,,,,,,,,,,,,
173,5.36E+00,0.00E+00,,,,,,,,,,,,,
174,5.39E+00,0.00E+00,,,,,,,,,,,,,
174,5.39E+00,0.00E+00,,,,,,,,,,,,,
175,5.43E+00,0.00E+00,,,,,,,,,,,,,
175,5.43E+00,0.00E+00,,,,,,,,,,,,,
176,5.46E+00,0.00E+00,,,,,,,,,,,,,
176,5.46E+00,0.00E+00,,,,,,,,,,,,,
177,5.49E+00,0.00E+00,,,,,,,,,,,,,
177,5.49E+00,0.00E+00,,,,,,,,,,,,,
178,5.52E+00,0.00E+00,,,,,,,,,,,,,
178,5.52E+00,0.00E+00,,,,,,,,,,,,,
179,5.55E+00,0.00E+00,,,,,,,,,,,,,
179,5.55E+00,0.00E+00,,,,,,,,,,,,,
180,5.58E+00,0.00E+00,,,,,,,,,,,,,
180,5.58E+00,0.00E+00,,,,,,,,,,,,,
181,5.61E+00,0.00E+00,,,,,,,,,,,,,
181,5.61E+00,0.00E+00,,,,,,,,,,,,,
182,5.64E+00,0.00E+00,,,,,,,,,,,,,
182,5.64E+00,0.00E+00,,,,,,,,,,,,,
183,5.67E+00,0.00E+00,,,,,,,,,,,,,
183,5.67E+00,0.00E+00,,,,,,,,,,,,,
184,5.70E+00,0.00E+00,,,,,,,,,,,,,
184,5.70E+00,0.00E+00,,,,,,,,,,,,,
185,5.74E+00,0.00E+00,,,,,,,,,,,,,
185,5.74E+00,0.00E+00,,,,,,,,,,,,,
186,5.77E+00,0.00E+00,,,,,,,,,,,,,
186,5.77E+00,0.00E+00,,,,,,,,,,,,,
187,5.80E+00,0.00E+00,,,,,,,,,,,,,
187,5.80E+00,0.00E+00,,,,,,,,,,,,,
188,5.83E+00,0.00E+00,,,,,,,,,,,,,
188,5.83E+00,0.00E+00,,,,,,,,,,,,,
189,5.86E+00,0.00E+00,,,,,,,,,,,,,
189,5.86E+00,0.00E+00,,,,,,,,,,,,,
190,5.89E+00,0.00E+00,,,,,,,,,,,,,
190,5.89E+00,0.00E+00,,,,,,,,,,,,,
191,5.92E+00,0.00E+00,,,,,,,,,,,,,
191,5.92E+00,0.00E+00,,,,,,,,,,,,,
192,5.95E+00,0.00E+00,,,,,,,,,,,,,
192,5.95E+00,0.00E+00,,,,,,,,,,,,,
193,5.98E+00,0.00E+00,,,,,,,,,,,,,
193,5.98E+00,0.00E+00,,,,,,,,,,,,,
194,6.01E+00,0.00E+00,,,,,,,,,,,,,
194,6.01E+00,0.00E+00,,,,,,,,,,,,,
195,6.05E+00,0.00E+00,,,,,,,,,,,,,
195,6.05E+00,0.00E+00,,,,,,,,,,,,,
196,6.08E+00,0.00E+00,,,,,,,,,,,,,
196,6.08E+00,0.00E+00,,,,,,,,,,,,,
197,6.11E+00,0.00E+00,,,,,,,,,,,,,
197,6.11E+00,0.00E+00,,,,,,,,,,,,,
198,6.14E+00,0.00E+00,,,,,,,,,,,,,
198,6.14E+00,0.00E+00,,,,,,,,,,,,,
199,6.17E+00,0.00E+00,,,,,,,,,,,,,
199,6.17E+00,0.00E+00,,,,,,,,,,,,,
200,6.20E+00,0.00E+00,,,,,,,,,,,,,
200,6.20E+00,1.50E+00,,,,,,,,,,,,,
201,6.23E+00,1.50E+00,,,,,,,,,,,,,
201,6.23E+00,1.50E+00,,,,,,,,,,,,,
202,6.26E+00,1.50E+00,,,,,,,,,,,,,
202,6.26E+00,1.50E+00,,,,,,,,,,,,,
203,6.29E+00,1.50E+00,,,,,,,,,,,,,
203,6.29E+00,1.50E+00,,,,,,,,,,,,,
204,6.32E+00,1.50E+00,,,,,,,,,,,,,
204,6.32E+00,1.50E+00,,,,,,,,,,,,,
205,6.36E+00,1.50E+00,,,,,,,,,,,,,
205,6.36E+00,1.50E+00,,,,,,,,,,,,,
206,6.39E+00,1.50E+00,,,,,,,,,,,,,
206,6.39E+00,1.50E+00,,,,,,,,,,,,,
207,6.42E+00,1.50E+00,,,,,,,,,,,,,
207,6.42E+00,1.50E+00,,,,,,,,,,,,,
208,6.45E+00,1.50E+00,,,,,,,,,,,,,
208,6.45E+00,1.50E+00,,,,,,,,,,,,,
